Topic,Count,assigned_group,best_score,confidence,Name,Representation,Representative_Docs
37,301,1.1 Đặc tính Hữu cơ,13.0,cao,37_úc organic_hạt organic_organic_hữu cơ,"['úc organic', 'hạt organic', 'organic', 'hữu cơ', 'organic mua', 'healthy thực', 'orgafood', 'thực sản', 'cơ ăn', 'hạt hữu']","['sản phẩm hữu cơ chất lượng', 'sản phẩm hạt hữu cơ chất lượng', 'sản phẩm hạt hữu cơ chất lượng']"
157,127,1.1 Đặc tính Hữu cơ,8.0,cao,157_vệ sinh_sạch_sẽ vệ_tắm_máy giặt,"['vệ sinh', 'sạch_sẽ vệ', 'tắm', 'máy giặt', 'chứa chất', 'khử khuẩn', 'foods chế', 'vật dụng', 'bao_bì_mẫu_mã sạch', 'mùi nó']","['tất sản phẩm sấy khô onfod đều đạt chuẩn về vệ sinh an toàn thực không chứa chất bảo quản', 'tất sản phẩm sấy khô tanu nuts đều đạt chuẩn về vệ sinh an toàn thực không chứa chất bảo quản', 'tất sản phẩm sấy khô tanu nuts đều đạt chuẩn về vệ sinh an toàn thực không chứa chất bảo quản']"
329,84,1.1 Đặc tính Hữu cơ,11.0,cao,329_phẩm màu_nhuộm màu_tẩm màu_màu khác,"['phẩm màu', 'nhuộm màu', 'tẩm màu', 'màu khác', 'nhuộm', 'mấy màu', 'phai màu', 'màu độ', 'màu nó', 'nhiên màu']","['không biết hàng sạch phẩm màu hóa chất hoá giờ giả nhiều', 'không chứa phẩm màu phụ gia chất bảo quản', 'không chứa phẩm màu phụ gia chất bảo quản']"
1466,31,1.1 Đặc tính Hữu cơ,8.0,cao,1466_sạch gạo_1kg gạo_500g gạo_nui gạo,"['sạch gạo', '1kg gạo', '500g gạo', 'nui gạo', 'để gạo', 'phẩm gạo', 'gạo nứt', 'từ gạo', 'organic sạch', 'núi gạo']","['gạo lứt đen việt thái organic 100 hữu cơ ít calo không cần ngâm ăn kiêng eat clean thực dưỡng 1kg ngon loại 1', 'gạo lứt đen việt thái organic 100 hữu cơ ít calo không cần ngâm ăn kiêng eat clean thực dưỡng 1kg ngon loại 1', 'gạo lứt đen việt thái organic 100 hữu cơ ít calo không cần ngâm ăn kiêng eat clean thực dưỡng 1kg ngon loại 1']"
1641,28,1.1 Đặc tính Hữu cơ,8.0,cao,1641_dấm táo_giấm táo_nhận táo_táo nói,"['dấm táo', 'giấm táo', 'nhận táo', 'táo nói', 'apple', 'nhiều táo', 'thái organic', 'hữu cơ', 'organic', 'ăn chua']","['giấm táo hữu cơ bragg cái dấm nhập chính hãng mỹ giảm cân ăn kiêng eatclean khách chọn mua lưu giúp shop vài thông tin sau', 'chính hãng giấm táo hữu cơ mỹ bragg cái dấm giảm cân ăn kiêng eatclean việt thái oỏganic', 'giấm táo hữu cơ mỹ bragg cái dấm giảm cân ăn kiêng eatclean việt thái organic']"
1884,25,1.1 Đặc tính Hữu cơ,8.0,cao,1884_đổi gen_gen_các chất_chất bảo,"['đổi gen', 'gen', 'các chất', 'chất bảo', 'dụng đậu', 'phẩm sạch', 'tăng trưởng', 'sản xuất', 'phải sản', 'mấy sản']","['sợ mấy sản phẩm biến đổi gen', 'hạt hạnh nhân hữ cơ khônh biến đổi gen chất lượng sản phẩm tốt', 'sản phẩm chất lượng không biến đổi gen']"
2000,23,1.1 Đặc tính Hữu cơ,9.0,cao,2000_hàng đậu_dưỡng đậu_đậu hữu_đậu nành,"['hàng đậu', 'dưỡng đậu', 'đậu hữu', 'đậu nành', 'hạt đậu', 'đậu nấu', 'đậu lăng', 'chất_lượng_tốt đậu', 'khỏe ăn', 'ngon đậu']","['hạt chia hữu cơ ăn ngon', 'chưa rõ yến mạch pháp ăn ngon đậu hữu cơ chất lượng', 'nui ngũ sắc rau củ tự nhiên ăn healthy thực dưỡng eat clean ngon gói 500g việt thái organic']"
46,279,1.2 Nhu cầu ăn kiêng/giảm cân,17.0,cao,46_mẩy gạo_xôi gạo_gạo nguyên_hạt gạo,"['mẩy gạo', 'xôi gạo', 'gạo nguyên', 'hạt gạo', 'bịch gạo', 'gạo bao', 'phở gạo', 'do gạo', 'gạo to', 'nhạt gạo']","['bún gạo lứt', 'hạt gạo dẻo', 'gạo lứt không']"
165,122,1.2 Nhu cầu ăn kiêng/giảm cân,42.0,cao,165_mùi gạo_hương_vị cơm_gạo hương_vị_thơm gạo,"['mùi gạo', 'hương_vị cơm', 'gạo hương_vị', 'thơm gạo', 'gạo thơm', 'hương_vị thơm_nhẹ', 'mùi giống', 'thơm mùi', 'gạo nếp', 'hôi hương_vị']","['hương_vị thơm mùi gạo lứt', 'hương_vị thơm mùi gạo lứt', 'hương_vị thơm mùi gạo lứt']"
250,97,1.2 Nhu cầu ăn kiêng/giảm cân,18.0,cao,250_hương_vị gạo_gạo hương_vị_hương_vị bánh_bánh gạo,"['hương_vị gạo', 'gạo hương_vị', 'hương_vị bánh', 'bánh gạo', 'lứt hương_vị', '', '', '', '', '']","['hương_vị gạo lứt', 'hương_vị gạo lứt', 'hương_vị gạo lứt']"
252,97,1.2 Nhu cầu ăn kiêng/giảm cân,5.0,thấp,252_giảm cânn_cân ăn_cân tốt_soát cân,"['giảm cânn', 'cân ăn', 'cân tốt', 'soát cân', 'cân giảm', 'kiêng giảm', 'cân mỗi', 'nhiều cân', 'tập ăn', 'eatclean ăn']","['phù hợp ăn kiêng giảm cân abcxyzcv', 'phù hợp ăn kiêmg giảm cân', 'ăn để giảm cân tốt']"
394,74,1.2 Nhu cầu ăn kiêng/giảm cân,5.0,thấp,394_gạo tốt_gạo giao_gói gạo_chóng gạo,"['gạo tốt', 'gạo giao', 'gói gạo', 'chóng gạo', 'cao gạo', 'nhanh gạo', 'đóng_gói_cẩn_thận gạo', 'ngán gạo', 'vậy gạo', 'càng gạo']","['gói hàng giao_hàng_nhanh chóng gì vong gạo nấu ăn ngon', 'gạo lứt ngon đóng gói sản phẩm chắc_chắn cẩn_thận chuẩn bị giao hàng nhanh ủng hộ thêm', 'gạo dẻo thơm ăn ngon shop giao_hàng_nhanh giao hàng nhiệt tình']"
431,70,1.2 Nhu cầu ăn kiêng/giảm cân,7.0,trung bình,431_cân gạo_từ gạo_gạo giảm_sắc gạo,"['cân gạo', 'từ gạo', 'gạo giảm', 'sắc gạo', 'mạnh gạo', 'lứt gạo', 'tím gạo', 'giữa gạo', 'gạo đảm', 'healthy bánh']","['gạo lứt đen hữu cơ ăn kiêng giảm cân healthy eatclean thực dưỡng 500g 1kg onfod thơm', 'gạo lứt đen hữu cơ ăn kiêng giảm cân healthy eatclean thực dưỡng 500g 1kg onfod', 'gạo lứt đen hữu cơ ăn kiêng giảm cân healthy eatclean thực dưỡng 500g 1kg onfod']"
528,63,1.2 Nhu cầu ăn kiêng/giảm cân,8.0,trung bình,528_kiêng ăn_ăn thực_kiêng eat_hợp ăn,"['kiêng ăn', 'ăn thực', 'kiêng eat', 'hợp ăn', 'eat', 'eat clean', 'ngon ăn', 'kiêng thích', '1kg ngon', 'ng ăn']","['phù hợp ăn kiêng', 'phù hợp ăn kiêng', 'ăn kiêng phù hợp']"
